song_name,href,lyric,artist
Her,/music/thailyric/15685,"Aey listen up girl
คุณทำให้โลกของผมมันหยุด
So hot in Here
เพียงแค่สบสายตา
เหมือนโดนสะกด In here
Everything about you
ทำหัวใจหยุด In here

Aey yo girl
Let me be the one
You and me เราจะเดินไปด้วยกัน
คุณคนเดียวที่วนเวียนอยู่ในฝัน
ไม่วันหลับหรือว่าตื่นจะมีคุณอยู่ในนั้น

Now and ever
Please say yes ละ Let's ride together
Trust in me แล้วรับผมเข้าไปเถอะ
ถึงจะดู Bad boy แต่ แบบผมไม่เลอะเทอะ

ทั้งหัวใจจะรวมกันเป็นหนึ่งเดียว
ไม่เจ้าชู้จะรักคุณแค่คนเดียว
จะตะวันหรือพระจันทร์ มันก็เหมือนเวลาเดียว
จะผ่านนานสักแค่ไหนจะมีคุณแค่คนเดียว

ผู้คนหลากหลาย But baby you look so shine
แสงไฟสะท้อนที่ออกมาตามร่างกาย เธอ
ทำฉันทนไม่ไหวเลยต้องเข้าไปทักทาย

แค่อยากที่จะรู้ รู้ว่าเธอเป็นใคร
จะได้บอกให้เธอได้รู้ว่าเธอน่ารักเพียงใด
ถ้าไม่ได้เจออีกแล้วก็คงไม่แคล้วต้องเสียใจ
ถ้าเราต้องจากกันในคืนนี้

ฉันเองก็ขอแค่เพียง ให้เราได้มาพูดจา
ไม่ต้องมากต้องมายแค่คำสุดท้ายไม่ใช่คำลา
ให้ได้มีโอกาสที่เราจะได้มาพบและใช้เวลา
ด้วยกันสักครั้ง

沈みゆく夕陽を見た
I was staring at the sunset

真っ赤に燃えゆくパヤオの街
The city of Phayao is becoming red like it's burning

今夜は1人でロンリーナイト No
Am I spend the time lonly tonight? No

君なら付き合ってくれる
You will hang out with me

嫌味の一つも言わず
without saying any nasty things

ただ慰めてくれよ
Just give me a comfort

連れ出して迷路
Take me out from the maze

この喧騒にまみれよう
Let us be in the noise of the city

Row ya, Row ya boat
今夜漕ぎ出そうah
Let's start rowing tonight

煙で弱くなる思考
My mind gets weak

でもなんだか寂しくないこの小夜
But, I don't feel any pity tonight

君があってのおれだよ
I am here because of you
(Yes you are only for me sure that )

その笑顔
Your smile
(ああ そうさ 君ならどうだい)
(""yes, what do you feel when you're with me"")

Que rico
君の虜
I'm a prisoner of you

ผู้คนหลากหลาย But baby you look so shine
แสงไฟสะท้อนที่ออกมาตามร่างกาย เธอ
ทำฉันทนไม่ไหวเลยต้องเข้าไปทักทาย

แค่อยากที่จะรู้ รู้ว่าเธอเป็นใคร
จะได้บอกให้เธอได้รู้ว่าเธอน่ารักเพียงใด
ถ้าไม่ได้เจออีกแล้วก็คงไม่แคล้วต้องเสียใจ
ถ้าเราต้องจากกันในคืนนี้

ฉันเองก็ขอแค่เพียง ให้เราได้มาพูดจา
ไม่ต้องมากต้องมายแค่คำสุดท้ายไม่ใช่คำลา
ให้ได้มีโอกาสที่เราจะได้มาพบและใช้เวลา
ด้วยกันสักครั้ง

ก่อนจบคงต้องผ่านแล้วเรื่องคำทักทาย
และก่อนจากคงไม่จบพร้อมกับ Say goodbye
พรุ่งนี้และต่อไป I want u in my life
That's right

หัวใจผมมันตกหลุม With your body
ยอมแลกอะไรก็ได้ With your booty
สมองผมมันสั่งให้หยุดแล้วในคืนนี้
เพราะคุณคือตัวจริง Be ma shoty

ช่วยเปลี่ยนชีวิตให้ผมมีคุณ
Everyday just me and you
คำว่ารักของผม Is true
เลนอยากให้คุณมาเป็น Ma boo

ทุกนาทีและคืนวันจนผ่านนานเป็นปี
ไม่เปลี่ยนใจและเปลี่ยนไปแค่ Only you baby
ยอมให้คุณเป็น Number one lady
Just me and you baby",yented
โปรดเถอะ (Agony),/music/thailyric/18843,"ฉันเองก็ตอบคำถามนั้นไม่ได้
ว่าทำไมฉันต้องวิ่งตามกับความรักนั้น ทำไม

เหมือนว่ามันจะไกลออกไปแสนไกล
เหมือนว่ามันจะมีจุดหมายแต่มันไม่ใช่
เธอแค่เพียงต้องการอะไรบางอย่าง
ใช่ไหม ใช่ไหม

โปรดเถอะอย่าให้ฉันพยายามอยู่อย่างนี้
บอกมาเถอะไม่รู้สึกดีอะไร
โปรดเถอะปล่อยให้ฉันได้มีชีวิตใหม่ ได้ไหม
ได้โปรดเถอะปล่อยฉันไป
โปรดเถอะอย่าทำร้ายหัวใจฉัน อีกเลย

ฉันทำได้เพียงแค่กอดตัวเองเอาไว้
ในวันที่คิดว่าเธอจะอยู่กับฉันตลอดไป

เหมือนว่ามันจะไกลออกไปแสนไกล
เหมือนว่ามันจะมีจุดหมายแต่มันไม่ใช่
เธอแค่เพียงต้องการอะไรบางอย่าง
ใช่ไหม ใช่ไหม

โปรดเถอะอย่าให้ฉันพยายามอยู่อย่างนี้
บอกมาเถอะไม่รู้สึกดีอะไร
โปรดเถอะปล่อยให้ฉันได้มีชีวิตใหม่ ได้ไหม
ได้โปรดเถอะปล่อยฉันไป
โปรดเถอะอย่าทำร้ายหัวใจฉัน อีกเลย",yented
พูดไปเหอะ (Verbalize / Friend Zone),/music/thailyric/15945,"ฉันไม่รู้จะเริ่มมันอย่างไร
ไม่รู้ว่าใช่เวลาที่ถูกไหม
ไม่รู้ว่าควร พูดคำว่ารักออกไป
ให้เธอได้ยินดีหรือเปล่า

แต่ความรู้สึก ที่ยังเก็บเอาไว้
ที่ไม่พูดไป เพราะว่าฉันไม่แน่ใจ

ถ้าหากว่าตอนนี้ฉันไม่ได้บอกกับเธอว่ารัก
ก็ยังคงไม่รู้ว่าเมื่อไรจะได้พูดไปสักที
ถ้าหากว่าตอนนี้ฉันได้พูดออกไป
พูดความในใจทั้งหมดที่มี
เธอจะยอมรักฉันหรือเปล่า

เสียงในหัวใจฉันมีแต่เสียงเธอ
ดังก่องอยู่เสมอเวลาได้คิดถึง
หลับตาลงเมื่อใดฉันมองไม่เห็นอะไรเลย
มีเพียงแต่ รอยยิ้มของเธอ

ถ้าหากว่าตอนนี้ฉันไม่ได้บอกกับเธอว่ารัก
ก็ยังคงไม่รู้ว่าเมื่อไรจะได้พูดไปสักที
ถ้าหากว่าตอนนี้ฉันได้พูดออกไป
พูดความในใจทั้งหมดที่มี
เธอจะยอมรักฉันหรือเปล่า

เธอจะยอมรักฉันหรือเปล่า
เธอจะยอมรักฉันหรือเปล่า
เธอจะยอมรักฉันหรือเปล่า",yented
เพลงของคุณ,/music/thailyric/18122,"คล้ายว่าจะมีอาการคิดถึงคุณ
โคตรจะเหงาเขาไม่ต้องการกัญและกัญ
หายใจติดขัดเหมือนโดนงูรัด
คงต้องเก็บรักษาใจไว้ข้างในตู้เย็น

ส้มมันหยุด แต่ผมไม่หยุดคิดถึงคุณ
ผมไม่หยุด แม้ว่าส้มมันหยุดไปก็ตาม

จะบอกคุณว่า รักนะครับ รักนะเพียงแค่คุณ
คุณเป็นคนที่ แสนน่ารัก แสนน่ารัก เหลือเกิน
แต่งงานกันเลยได้หรือเปล่า ให้เรื่องราวมีแค่เรา
ไม่อยากจะน้ำตานองเพราะคุณ อีกแล้ว

ในฤดูฝนฉันขอให้เธออย่าหายไป
ถ้าคุณเป็นข้าวผมจะเป็นแกงเขียวหวานไก่
ระหว่างเราฉันเพียงขอให้เธอไม่หายไป
โปรดเถอะอยู่ให้ฉันได้รักแค่เพียงเท่านั้นก็พอ

จะบอกคุณว่า รักนะครับ รักนะเพียงแค่คุณ
คุณเป็นคนที่ แสนน่ารัก แสนน่ารัก เหลือเกิน
แต่งงานกันเลยได้หรือเปล่า ให้เรื่องราวมีแค่เรา
ไม่อยากจะน้ำตานองเพราะคุณ อีกแล้ว

จะบอกคุณ รักรักรักนะครับ รักนะเพียงแค่คุณ
คุณเป็นคนที่ แสนน่ารัก แสนน่ารัก เหลือเกิน
แต่งงานกันเลยได้หรือเปล่า ให้เรื่องราวมีแค่เรา
ไม่อยากจะน้ำตานองเพราะคุณ อีกแล้ว

ไม่อยากจะน้ำตานองเพราะคุณ อีกแล้ว",yented
เพลงของใคร,/music/thailyric/11993,"อยากจะแต่งเพลงรักสักเพลง ไม่รู้ว่าจะแต่งเพื่อใคร
จับปากกาและขีดเขียนลงไป แต่ในใจยังมีแต่ความว่างเปล่า
ไม่อาจที่จะเขียนบทเพลง ที่ใครหลายคนเข้าใจและเรียกว่าความรัก
ไม่อาจที่จะเขียนบทเพลง สักเพลงเพื่อใครสักคน

ความรักมันคืออะไร เจ็บช้ำเพราะรักมันเป็นอย่างไร
คนบนโลกมากมายเท่าไร กับคำถามที่ไม่เข้าใจ
สุดท้ายก็กลายเป็นฉันที่ต้องมาทนทุกข์ทรมาน
กับการมีเพียงแค่ฉันกับเพลงที่ไม่มีใครต้องการ
ได้โปรดเถอะทำให้ฉันได้พบเธอ

ฉันเป็นแค่ผู้ชายคนหนึ่ง ที่ต้องการความรัก ที่ใครสักคน
ฉันเป็นแค่ผู้ชายคนหนึ่ง ที่ต้องการความรัก เวลาหัวใจ

อยากจะแต่งเพลงรักสักเพลง แต่ไม่รู้ว่าจะแต่งเพื่อใคร
จับปากกาและขีดเขียนลงไป แต่ในใจยังมีแต่ความว่างเปล่า
ไม่อาจที่จะเขียนบทเพลง ที่ใครหลายคนเข้าใจและเรียกว่าความรัก
ไม่อาจที่จะเขียนบทเพลง สักเพลงเพื่อใครสักคน

อยากจะร้องเพลงบอกรัก ใครสักคน
ที่มีหัวใจเหมือนกับฉัน
ที่ฉันเฝ้ารักเธอ ที่มีหัวใจพบกัน
ที่ฉันเฝ้ารอได้พบเธอ

อยากจะแต่งเพลงรัก แต่ไม่รู้ว่าจะแต่งเพื่อใคร
จับปากกาและขีดเขียนลงไป แต่ในใจยังมีแต่ความว่างเปล่า
ไม่อาจที่จะเขียนบทเพลง ที่ใครหลายคนเข้าใจและเรียกว่าความรัก
ไม่อาจที่จะเขียนบทเพลง สักเพลงเพื่อใครสักคน",yented
รักจางๆ ที่อ่างแม่ต๋ำ,/music/thailyric/14229,"ฉันเดินไปในเส้นทางที่แสนยาวไกล
พบเพียงความหวั่นไหวในหัวใจ
ช่วงเวลาที่เคยกอดเธอไว้
มันช่างสวยงาม และอุ่นหัวใจ

โปรดเถอะบอกฉันที ว่าเธออยู่ที่ใด
วันที่เธอหายไป ทรมานเหลือเกิน

ฉันไม่อาจฝืนใจ รักใครอีกได้เลย
สุดท้ายหัวใจ ก็มีเพียง เพียงเธอเท่านั้น

เพียงเธอเท่านั้น เพียงเธอเท่านั้น
เธอเท่านั้น เธอเท่านั้น",yented
รักได้แค่คนเดียว,/music/thailyric/11992,"สิ่งที่ผิดเพี้ยน คือการไม่แปรเปลี่ยน
โลกที่หมุนเวียน เปลี่ยนให้เธอต้องจากไป
ให้เหลือแค่เพียงฉัน กับทุกวันที่หายใจ
อย่าไร้ความรู้สึกดี

ยังคงเหมือนเดิม ที่เพิ่มเติมคือความเหงา
คำว่าเราไม่เคยจะหายไป
แม้ความหวังจะเหลือน้อยเพียงใด
แต่ฉันก็ยังรักเธอไม่เปลี่ยนไป

ฉันเชื่อที่จะรอ แม้บางคราวอาจจะท้อ
แต่จะไม่ขอให้ใครเข้ามาในชีวิต
แม้ฉันจะเจ็บปวด เพราะรอเธอด้วยความรัก
แต่ความผูกพันนั้นยังไม่จางหายไป จากใจเสียที

จากกันไปตั้งนานเท่าไร แต่หัวใจยิ่งผูกพัน
คิดจะรักใครคงเป็นได้แค่ฝัน เพราะว่าฉันรักได้แค่คนเดียว
คนเดียวคนนั้น คือเธอที่จากไป
คนเดียวคนนั้น เธอทำให้ฉันได้เข้าใจ
ว่าสิ่งที่ทำให้ฉันต้องเสียใจ คือฉันได้ทำรักแท้นั้นหล่นหายไป

ฉันเชื่อที่จะรอ แม้บางคราวอาจจะท้อ
แต่จะไม่ขอให้ใครเข้ามาในชีวิต
แม้ฉันจะเจ็บปวด เพราะรอเธอด้วยความรัก
แต่ความผูกพันนั้นยังไม่จางหายไป จากใจเสียที

กลับมาได้ไหม กลับมารักกัน
กลับมาทำให้คนอย่างฉัน ได้ยิ้มอีกที
เธอยังเป็นความฝัน ของฉันคนนี้
ไม่ว่าเวลาจะผ่านไปนานสักกี่ปี",yented
วิภาวดี 6:00 PM (Vibhavadi),/music/thailyric/16823,"แสงอาทิตย์สะท้อนผ่านร่างกายของเธอ
ในช่วงเวลาสิบแปดนาฬิกา บนถนนวิภาวดี

เธอทำให้คนที่เฉยชากลับมามีชีวิตชีวาอีกครั้ง
เธอทำให้ฉันได้มีชีวิตใหม่ในร่างกายเดิม

จะบอกให้เธอได้รู้ ว่าไม่มีอะไร
ที่ฉันต้องการไปกว่าเธออีกแล้ว
ไม่มีอะไร

อยู่บนถนน และเพลงที่เธอเปิดฟังทุกครั้ง
แต่สิ่งที่ฉันชอบฟัง คือเสียงที่ดังออกมาจากเธอ

จะบอกให้เธอได้รู้ ว่าไม่มีอะไร
ที่ฉันต้องการไปกว่าเธออีกแล้ว
ไม่มีอะไร

เธอทำให้คนที่เฉยชากลับมามีชีวิตชีวาอีกครั้ง
เธอทำให้ฉันได้มีชีวิตใหม่ในร่างกายเดิม

จะบอกให้เธอได้รู้ ว่าไม่มีอะไร
ที่ฉันต้องการไปกว่าเธออีกแล้ว
ไม่มีอะไร

จะบอกให้เธอได้รู้ ว่าไม่มีอะไร
ที่ฉันต้องการไปกว่าเธออีกแล้ว
ไม่มีอะไร",yented
ห่าง (Aloof),/music/thailyric/17850,"อยากให้เธอเข้าใจ
ไม่เคยต้องการให้เราสองคนต้องจบแบบนี้
สิ่งหนึ่งที่เธอก็รู้ดี ว่าฉันนั้นต้องการแค่เธอก็พอ

ทางที่เราต้องไปต่อ
จะฉุดให้รอและหวังให้เธอไม่เสียใจกับฉัน
ได้โปรดหยุดอยู่ตรงนั้น
จะออกจากฝันของเธอและหายไป

ห่างกันเพื่อหายไป
จากวันที่เราต้องไกล
ทำให้ฉันเข้าใจ
อาจจะเป็นเพราะบางอย่างในชีวิต
ทำให้ต้องไกลไม่อาจจะใกล้ชิด
ข้ออ้างมากมายที่ฉันวุ่นวาย
หามันเพื่อกลายเป็นคนที่เธอไม่รัก

เหมือนไม่รู้สึกอะไรทั้งนั้น
ทั้งที่ฉันเจ็บปวดใจทุกวัน
ทุกสิ่งที่เธอฝันฉันทำให้เสียใจ

อยากให้เธอเข้าใจ
ไม่เคยต้องการให้เราสองคนต้องจบแบบนี้
สิ่งหนึ่งที่เธอก็รู้ดี ว่าฉันนั้นต้องการแค่เธอก็พอ

ทางที่เราต้องไปต่อ
ฉันรู้ว่าเรานั้นควรพอ
ไม่อาจบอกเธอให้รอ
อยากให้เธอได้รู้
การที่ชีวิต เธอไม่มีฉันอยู่
เธอเองก็รู้ว่าดีกว่า",yented
หินหยดลงน้ำ (Adore),/music/thailyric/20323,"เสียงเพลงและบรรยากาศที่วุ่นวาย
แต่ตรงนี้เหมือนมีแค่เรา
เรื่องราวมากมายหลายอย่างของเธอ
อยากจะเรียนรู้ให้เข้าใจ

เวลาได้เฝ้ามองดูดวงตาเธอคนนี้
ทำไมมันรู้สึกดีเหลือเกินที่ได้มอง
แหละแม้ว่ารู้ดีทำได้เพียงแค่เฝ้ามอง
ได้โปรดให้ฉันได้ลองพูดความรู้สึก

ถ้าหากว่าในใจเธอยังไม่มีใครอยู่
อยากบอกให้รู้ว่าเวลาได้สบตาเธอ
ไม่มีอะไรที่จะแทนภาพที่ได้เจอ
เพราะสิ่งสุดท้ายที่งดงามอยู่เสมอ
มีเพียงแค่เธอเท่านั้นเอง

Sel su eobsneun parody gwaenchanh-a
Follow me Just blame it all on me aljanh-a masterpiece
Amuli nappa gwaenchanh-a da cheoncheonhi gaja pul-eonagaja da
Nae mogpyoneunjeogimeolli himdeulgessjineoeobsi
Neun hangsangbieo issneunjali negaisseumgat-inop-i
Nal-agalsu-iss-eulgeogad-a jinsim-iya sal-agatsu-iss-eulgeogat-e I feel it ya

Thoenguaela mnaiang phanpai
You're still be on my mind
Oh god you are the one that style
Thoanong e beb nan yak yud
Right here bonni thimi chaoyu khiangkhang kan

ถ้าหากว่าในใจเธอยังไม่มีใครอยู่
อยากบอกให้รู้ว่าเวลาได้สบตาเธอ
ไม่มีอะไรที่จะแทนภาพที่ได้เจอ
เพราะสิ่งสุดท้ายที่งดงามอยู่เสมอ
มีเพียงแค่เธอเท่านั้นเอง

Can I be honest
Naisaita khongkhony chao boeng kai va perfect
และจะหยุดเอาไว้
Bonni thimi chaoyu khiangkhang kan

ถ้าหากว่าในใจเธอยังไม่มีใครอยู่
อยากบอกให้รู้ว่าเวลาได้สบตาเธอ
ไม่มีอะไรที่จะแทนภาพที่ได้เจอ
เพราะสิ่งสุดท้ายที่งดงามอยู่เสมอ

ถ้าหากว่าในใจเธอยังไม่มีใครอยู่
อยากบอกให้รู้ว่าเวลาได้สบตาเธอ
ไม่มีอะไรที่จะแทนภาพที่ได้เจอ
เพราะสิ่งสุดท้ายที่งดงามอยู่เสมอ
มีเพียงแค่เธอเท่านั้นเอง",yented
