song_name,href,lyric,artist
ขอใจเธอแลกเบอร์โทร,/music/thailyric/9596,"แวบเดียวแค่ดู ก็ทำให้รู้ว่าเธอนะโดนหัวใจ
อยากบอกเหลือเกินว่าเธอน่ารักแค่ไหน
จริตมากไปกลัวมันไม่ดีไม่งาม
ก็เลยเก๊กฟอร์ม ทำเป็นอ้อมค้อมทำเป็นว่าดูเฉยเมย
จนเธอมาขอ เบอร์โทรเข้าทางแล้วเอ๋ย
อยากบอกจังเลย ถึงบ้านให้รีบโทรหา

เบอร์โทรอื่น จะได้ยินเสียงรอสาย
แบบ แบบ แบบ ว่าให้รอ
แต่เบอร์นี้ จะได้ยินเสียงใจบอกว่า

ท่านกำลังเข้าสู่บริการรับฝาก หัวใจ
ลงทะเบียนฝากไว้ตัวเอากลับไป ใจให้เก็บรักษา
ยอมจำนนเธอแล้ววันนี้แค่แรก เห็นหน้า
ฝากไว้กับฉันนะหัวใจของเธอ แลกเบอร์โทร โอ๊ะ โอ โอย

ใจคงขาดหวิว หากเธอโดนซิวเพราะมีมือดีโฉบไป
รักแรกของฉัน ไม่รู้มีอีกเมื่อไร
เอาใจแลกใจ อย่างนี้ไว้ก่อนและดี

เบอร์โทรอื่น จะได้ยินเสียงรอสาย
แบบ แบบ แบบ ว่าให้รอ
แต่เบอร์นี้ จะได้ยินเสียงใจบอกว่า

ท่านกำลังเข้าสู่บริการรับฝาก หัวใจ
ลงทะเบียนฝากไว้ตัวเอากลับไป ใจให้เก็บรักษา
ยอมจำนนเธอแล้ววันนี้แค่แรก เห็นหน้า
ฝากไว้กับฉันนะหัวใจของเธอ แลกเบอร์โทร โอ๊ะ โอ โอย

เบอร์โทรอื่น จะได้ยินเสียงรอสาย
แบบ แบบ แบบ ว่าให้รอ
แต่เบอร์นี้ จะได้ยินเสียงใจบอกว่า
ท่านกำลังเข้าสู่บริการรับฝาก หัวใจ
ลงทะเบียนฝากไว้ตัวเอากลับไป ใจให้เก็บรักษา
ยอมจำนนเธอแล้ววันนี้แค่แรก เห็นหน้า
ฝากไว้กับฉันนะหัวใจของเธอ แลกเบอร์โทร โอ๊ะ โอ โอย
เบอร์โทรอื่น จะได้ยินเสียงรอสาย
แบบ แบบ แบบ ว่าให้รอ

แต่เบอร์นี้ จะได้ยินเสียงใจบอกว่า...เฮ้ เฮ้ เฮ้
ท่านกำลังเข้าสู่บริการรับฝาก หัวใจ
ลงทะเบียนฝากไว้ตัวเอากลับไป ใจให้เก็บรักษา
ยอมจำนนเธอแล้ววันนี้แค่แรก เห็นหน้า
ฝากไว้กับฉันนะหัวใจของเธอ แลกเบอร์โทร โอ๊ะ โอ โอย",yinglee_srijumpol
แทงข้างหลัง,/music/thailyric/9882,"คิดบ่ออกสิบอกใจยังไง แนมเบิ่งใจอ้ายคือเป็นลายต่าง
เปลี่ยนไปนอกใจนาง ฉีกหัวใจดวงนี้ขาดเคิ่ง

แหงนเบิ่งฟ้าเบิ่งดาวสู่ค่ำ น้องยังจำสองเฮานั่งเบิ่ง
กะได้แต่คิดฮอดคิดเถิง เฮ็ดจั่งใด๋เฮาสิเป็นคือเก่า

มาเจ็บใจแฮง ย่อนถืกแทงข้างหลัง
อกหักจังจัง คือใจสิขาด
ป๊าดติ้โธ่ เจ็บคักขนาด
คือสายฟ้าฟาด คือนิยายน้ำเน่า
คนที่แทงข้างหลัง ก็เป็นเพื่อนเรา
เบิดคำสิเว้า ย่อนถืกแทงข้างหลัง

จากวันนี้สิบอกใจยังไง บ่มีอ้ายมาคอยเดินร่วมทาง
หมดไปแล้วความฝันความหวัง ถูกแทงหลังน้ำตาพังย่าว

มาเจ็บใจแฮง ย่อนถืกแทงข้างหลัง
อกหักจังจัง คือใจสิขาด
ป๊าดติ้โธ่ เจ็บคักขนาด
คือสายฟ้าฟาด คือนิยายน้ำเน่า
คนที่แทงข้างหลัง ก็เป็นเพื่อนเรา
เบิดคำสิเว้า ย่อนถืกแทงข้างหลัง

จากวันนี้สิบอกใจยังไง บ่มีอ้ายมาคอยเดินร่วมทาง
หมดไปแล้วความฝันความหวัง ถูกแทงหลังน้ำตาพังย่าว

มาเจ็บใจแฮง ย่อนถืกแทงข้างหลัง
อกหักจังจัง คือใจสิขาด
ป๊าดติ้โธ่ เจ็บคักขนาด
คือสายฟ้าฟาด คือนิยายน้ำเน่า
คนที่แทงข้างหลัง ก็เป็นเพื่อนเรา
เบิดคำสิเว้า ย่อนถืกแทงข้างหลัง

เบิดคำสิเว้า ย่อนถืกแทงข้างหลัง",yinglee_srijumpol
แฟนใหม่ก็เอา แฟนเก่าก็รัก,/music/thailyric/11615,"เธอบอกให้รอ เพื่อจะขอเลิกกันกับเขา
เธอบอกว่าเขา เข้ากันไม่ได้ตั้งนาน
รักจึงเชื่อทุกอย่าง
ยอมอยู่ห่างๆ รอวันสำคัญ
การเลิกมันช่างเนิ่นนาน
ผลัดไปวันๆ ไม่จบสักครั้ง

เธอหลอกให้รอ ความจริงเปิดจอสายตาจึงรู้
ที่เธอทั้งคู่ยังเป็นเหมือนเดิมทุกอย่าง
เธอเห็นฉันเป็นใคร
ทำไมเก็บไว้แล้วให้ความหวัง
หากจะคิดควบใจสองทาง
คงมีแต่พังกับพังเท่านั้น

แฟนใหม่เธอก็จะเอา
แฟนเก่าเธอก็จะรัก
สองคนจึงต้องเจ็บหนัก
หากต้องใช้ผู้ชายร่วมกัน

แฟนใหม่เธอก็จะเอา
แฟนเก่ายังรักอย่างนั้น
ถ้าคนนั้นเขายังสำคัญ
อย่าหลอกให้ฝันให้รออีกเลย

อยากให้เข้าใจ ไม่ใช่นางร้าย
หวังแย่งของใคร
บอกกันได้ไหม วันไหนเธอจะลงเอย
เลิกกับเขาไม่ได้
ก็อย่าให้ฉันเป็นรองเขาเลย
หากไม่ได้เป็นแฟนเปิดเผย
เราจบกันเลย ฉันทรมาน

แฟนใหม่เธอก็จะเอา
แฟนเก่าเธอก็จะรัก
สองคนจึงต้องเจ็บหนัก
หากต้องใช้ผู้ชายร่วมกัน

แฟนใหม่เธอก็จะเอา
แฟนเก่ายังรักอย่างนั้น
ถ้าคนนั้นเขายังสำคัญ
อย่าหลอกให้ฝันให้รออีกเลย

อยากให้เข้าใจ ไม่ใช่นางร้าย
หวังแย่งของใคร
บอกกันได้ไหม วันไหนเธอจะลงเอย
เลิกกับเขาไม่ได้
ก็อย่าให้ฉันเป็นรองเขาเลย
หากไม่ได้เป็นแฟนเปิดเผย
เราจบกันเลย ฉันทรมาน",yinglee_srijumpol
30 จีบได้,/music/thailyric/12541,"จะบอกอายุตรง ตรง พี่ไม่ต้องงง
นั่งทำตาปริบ ปริบ
น้องอายุสามสิบ สามสิบ แต่ก็ยังสวย
ยังเต่งยังตึงดูดีนัองยังเซ็กซี่ สีผิวอาหมวย
ยิ้มก็หวานเสียด้วย ป๋าป่วยยังมองตาแป๋ว

เชื่อไหมคุณพี่ อายุตอนนี้เข้าเลขสามแล้ว
สามสิบยังแจ๋ว แจ๋วและยังน่าจีบ จีบ จีบ จีบ

มะพร้าวยิ่งแก่ยิ่งมันล่ะ
น้องยังอวบอั๋น เอาอีตอน สามสิบ
โถ้ถ้าพี่จะจีบ สามสิบจีบได้ยังสวย

เชื่อไหมคุณพี่ อายุตอนนี้เข้าเลขสามแล้ว
สามสิบยังแจ๋ว แจ๋วและยังน่าจีบ จีบ จีบ จีบ

มะพร้าวยิ่งแก่ยิ่งมันล่ะ
น้องยังอวบอั๋น เอาอีตอน สามสิบ
โถ้ถ้าพี่จะจีบ สามสิบจีบได้ยังสวย",yinglee_srijumpol
ชัด ช่าว,/music/thailyric/13589,"แค่อยากบอกว่าไม่ได้ชอบเที่ยว
แต่อยู่คนเดียวที่บ้านไม่ได้เฉยๆ
นอนไม่หลับอย่างเคย ขี้เกียจนั่งเฉย
ก็เลยต้องมาชั้ดช่าว

ฉันไม่ได้ชอบเที่ยว
แค่อยู่คนเดียวที่บ้านแล้วใจมันเหงา
เลยมาจัดเบาเบา คนโสดอย่างเราอ่ะ
ถ้าชอบยาวๆ อ่ะ ก็เช้าด้วยกัน

อย่ามองเธออย่ามองฉันเป็นคนเสเพล
ไม่เกเรเรื่องจริงนะสาบาน
แค่คิดว่าอยากมีเรื่องแบบนี้สักวัน
ที่นานๆ ได้เอกเซอร์ไซส์
กลับบ้านก็ไม่มีคนนั่งรอเหมือนก่อน
ฟูกที่นอนก็ไม่ไปไหน
สักแป๊บนะอาหารก็เพิ่งสั่งไป
จะรีบไปไหนอ่ะ คืนนี้ยังอีกยาว

แค่อยากบอกว่าไม่ได้ชอบเที่ยว
แต่อยู่คนเดียวที่บ้านไม่ได้เฉยๆ
นอนไม่หลับอย่างเคย ขี้เกียจนั่งเฉย
ก็เลยต้องมาชั้ดช่าว

ฉันไม่ได้ชอบเที่ยว
แค่อยู่คนเดียวที่บ้านแล้วใจมันเหงา
เลยมาจัดเบาเบา คนโสดอย่างเราอ่ะ
ถ้าชอบยาวๆ อ่ะ ก็เช้าด้วยกัน

ก็ฝันได้แต่ฝันถึงเรื่องฟอแอนแฟน
หาแมนๆ ยากขึ้นทุกวัน
แอบปิ๊งคนที่ยืนเต้นอยู่ข้างๆ กัน
หน้าตาผ่านดันมากับแฟน
ได้ยินเคยได้ยินว่าลำปางหนาวมาก
คงไม่หนักเท่าหนาวอ้อมแขน
บางคนที่สุขใจ ก็ไม่เห็นมีแฟน
แค่ แอน แอ่น แอ๊น โยกย้ายไปกับเพลง

แค่อยากบอกว่าไม่ได้ชอบเที่ยว
แต่อยู่คนเดียวที่บ้านไม่ได้เฉยๆ
นอนไม่หลับอย่างเคย ขี้เกียจนั่งเฉย
ก็เลยต้องมาชั้ดช่าว

ฉันไม่ได้ชอบเที่ยว
แค่อยู่คนเดียวที่บ้านแล้วใจมันเหงา
เลยมาจัดเบาเบา คนโสดอย่างเราอ่ะ
ถ้าชอบยาวๆ อ่ะ ก็เช้าด้วยกัน

แค่อยากบอกว่าไม่ได้ชอบเที่ยว
แต่อยู่คนเดียวที่บ้านไม่ได้เฉยๆ
นอนไม่หลับอย่างเคย ขี้เกียจนั่งเฉย
ก็เลยต้องมาชั้ดช่าว

ฉันไม่ได้ชอบเที่ยว
แค่อยู่คนเดียวที่บ้านแล้วใจมันเหงา
เลยมาจัดเบาเบา คนโสดอย่างเราอ่ะ
ถ้าชอบยาวๆ อ่ะ ก็เช้าด้วยกัน",yinglee_srijumpol
ชีวิตดี๊ดี,/music/thailyric/12394,"จั๊ดจ้าดาดัดจัดจั๊ดจ้า ด้าดัดจัดจั๊ดจ้าด้าดัดจัดจ้า
ดี๊ดี๊ดี่ดีดี่ดี๊ดี๊ดี่ ดีดี่ดี๊ดี๊ดี่ดีดี่ดี๊
แน้นแน้นแน่นแนนแน่น แน้นแน่นแนนแน่นแน้น
แน้นแน่นแนนแน่นแน้น
ลั้ลลั้ลลั่ลลัลลั่ลลั้น ลั้ลลั่ลลัลลั่ลลั้ล
ลั้นลั่ลลัลลั่ลล้า

ชีวิตดี๊ดี มีเงินทองให้พอใช้จ่าย
เพื่อนฝูงมากมาย แต่ละคนก็ดีดี๊ดี
ครอบครัวสุขสันต์ ไปไหนกันก็เฮทุกที
เจ้านายก็ดี บอกปีนี้โบนัสเพียบเลย

ยิ่งมีคนดีดีมาเอาอกเอาใจ
อะไรอะไรก็ยิ่ง ดี๊ดี๊ดี๊ดี๊ ดี๊ดี๊ดี๊ดี๊ ดี๊ดี๊ดี๊ดี๊ ดี๊ ดี๊

จั๊ดจ้าดาดัดจัดจั๊ดจ้า ด้าดัดจัดจั๊ดจ้าด้าดัดจัดจ้า
ดี๊ดี๊ดี่ดีดี่ดี๊ดี๊ดี่ ดีดี่ดี๊ดี๊ดี่ดีดี่ดี๊
แน้นแน้นแน่นแนนแน่น แน้นแน่นแนนแน่นแน้น
แน้นแน่นแนนแน่นแน้น
ลั้ลลั้ลลั่ลลัลลั่ลลั้น ลั้ลลั่ลลัลลั่ลลั้ล
ลั้นลั่ลลัลลั่ลล้า

ชีวิตดี๊ดี อยากจะกินเราก็ได้กิน
ร่างกายฟิ๊นฟิน สุขภาพแข็งแรงสดใส
ว่างว่าง ก็เซลฟีลงไอจีลงเฟซลงไลน์
อุ๊ยตายต๊ายตาย คนกดไลก์สบายใจจัง

ยิ่งมีคนดีดีมาเอาอกเอาใจ
อะไรอะไรก็ยิ่ง ดี๊ดี๊ดี๊ดี๊ ดี๊ดี๊ดี๊ดี๊ ดี๊ดี๊ดี๊ดี๊ ดี๊ ดี๊

จั๊ดจ้าดาดัดจัดจั๊ดจ้า ด้าดัดจัดจั๊ดจ้าด้าดัดจัดจ้า
ดี๊ดี๊ดี่ดีดี่ดี๊ดี๊ดี่ ดีดี่ดี๊ดี๊ดี่ดีดี่ดี๊
แน้นแน้นแน่นแนนแน่น แน้นแน่นแนนแน่นแน้น
แน้นแน่นแนนแน่นแน้น
ลั้ลลั้ลลั่ลลัลลั่ลลั้น ลั้ลลั่ลลัลลั่ลลั้ล
ลั้นลั่ลลัลลั่ลล้า

อะไรมันถึงดีอย่างนั้น
เพราะมันก็ดีอย่างนี้
อะไรมันถึงดีอย่างงี้
เพราะมันก็ดีอย่างงั้น

ชีวิตดี๊ดี อยากจะกินเราก็ได้กิน
ร่างกายฟิ๊นฟิน สุขภาพแข็งแรงสดใส
ว่างว่าง ก็เซลฟีลงไอจีลงเฟซลงไลน์
อุ๊ยตายต๊ายตาย คนกดไลก์สบายใจจัง

ยิ่งมีคนดีดีมาเอาอกเอาใจ
อะไรอะไรก็ยิ่ง ดี๊ดี๊ดี๊ดี๊ ดี๊ดี๊ดี๊ดี๊ ดี๊ดี๊ดี๊ดี๊ ดี๊ ดี๊

จั๊ดจ้าดาดัดจัดจั๊ดจ้า ด้าดัดจัดจั๊ดจ้าด้าดัดจัดจ้า
ดี๊ดี๊ดี่ดีดี่ดี๊ดี๊ดี่ ดีดี่ดี๊ดี๊ดี่ดีดี่ดี๊
แน้นแน้นแน่นแนนแน่น แน้นแน่นแนนแน่นแน้น
แน้นแน่นแนนแน่นแน้น
ลั้ลลั้ลลั่ลลัลลั่ลลั้น ลั้ลลั่ลลัลลั่ลลั้ล
ลั้นลั่ลลัลลั่ลล้า

อะไรมันถึงดีอย่างนั้น
เพราะมันก็ดีอย่างนี้
อะไรมันถึงดีอย่างงี้
เพราะมันก็ดีอย่างงั้น",yinglee_srijumpol
อยากอยู่ในอ้อมกอดเธอ,/music/thailyric/12909,"ชีวิตผ่านโลกมามาก
ความรักนั้นก็เคยมี
แต่ไม่สมหวังสักที
รักดี ดี อยากมีกับเขาบ้าง
เจอะเธอแล้วใจตื่นเต้น
คนขี้เล่นน่ารักจัง
ดูแลอบอุ่นทุกครั้ง
เต้นแรงจังฟังเสียงหัวใจ

โทรหาเพราะว่าคิดฮอด
อยากกอดเพราะว่าคิดถึง
เป็นคนสำคัญที่หนึ่ง
ทำซึ้งเพราะชอบเซอร์ไพรส์
วันเกิดปีใหม่สงกรานต์
เติมหวานวันวาเลนไทน์
สรรหาสิ่งที่อยากได้
เพราะรักมากมายหัวใจรุมเร้า

อยากอยู่ในอ้อมกอดเธอ
ใกล้ชิดสนิทเป็นแฟน
อยากหลับอยู่ในอ้อมแขน
กอดแทนหมอนใบเก่า
อยากจะเป็นคนพิเศษ
ออกเดทด้วยกันสองเรา
ไปเที่ยว ดูหนัง กินข้าว
โพสต์รูปเบาเบา คู่กันหวานชื่น

เหงา เหงา เมื่อเราต้องห่าง
อ้างว้างเมื่อยามไกลกัน
อยากอยู่ใกล้ใกล้ทุกวัน
หอมแก้มกันทุกทุกคืน
ลืมตาเห็นหน้าคนดี
กอดอีกทีเมื่อยามตื่น
ไม่ต้องอิจฉาคนอื่น
เพราะเราหวานชื่นรักกันสุดใจ

อยากอยู่ในอ้อมกอดเธอ
ใกล้ชิดสนิทเป็นแฟน
อยากหลับอยู่ในอ้อมแขน
กอดแทนหมอนใบเก่า
อยากจะเป็นคนพิเศษ
ออกเดทด้วยกันสองเรา
ไปเที่ยว ดูหนัง กินข้าว
โพสต์รูปเบา เบา คู่กันหวานชื่น

เหงา เหงา เมื่อเราต้องห่าง
อ้างว้างเมื่อยามไกลกัน
อยากอยู่ใกล้ใกล้ทุกวัน
หอมแก้มกันทุกทุกคืน
ลืมตาเห็นหน้าคนดี
กอดอีกทีเมื่อยามตื่น
ไม่ต้องอิจฉาคนอื่น
เพราะเราหวานชื่นรักกันสุดใจ

ไม่ต้องอิจฉาคนอื่น
เพราะเราหวานชื่นรักกันสุดใจ
มีรักโลกสวยสดใส
เป็นกำลังใจให้กันและกัน",yinglee_srijumpol
อ้ายหลายใจสิย้ายไปฝั่งลาว,/music/thailyric/13266,"สาวฝั่งไทยคือเหงาใจแท้เจ้า
ผู้สาวฝั่งลาวสิเหงาบ้างไหมหนอ
คอยแล้วคอยเล่าอ้ายผู้บ่าวรูปหล่อ
สาวไทยเฝ้ารอ อยากพบพ้อทุกวัน
สาวฝั่งไทยบ่หลายใจเด้อเจ้า
ผู้สาวฝั่งลาวก็ใจเดียวคือกัน
แต่ใจผู้บ่าวล่ะสองฝั่งทางนั้น
เจ้าชู้เหมือนกันหรือว่าอ้ายจริงใจ

บอกมาให้เข้าใจตรงกัน
ว่าเชื่อมความสัมพันธ์
แล้วจะไม่จากไป
ปากเธอหากไม่ตรงกับใจ
ให้มีอันเป็นไป
ถ้าเธอลวงหลอกฉัน
ไม่จริงเธออย่าได้สาบาน
รักจริงขอให้เชื่อคำมั่น
เวลาพิสูจน์กันและกัน
แม้ว่าเราห่างกัน
ก็รักเธอจริงใจ
รักเธอจริงใจ

เพ็ญเดือนสิบสอง
น้ำก็นองไหลเชี่ยว
อยู่คนเดียวละเหงาเปลี่ยวเดียวดาย
อย่าลืมคำมั่นสัญญาที่ฝั่งหนองคาย
ถ้าอ้ายหลายใจสิย้ายไปอยู่ฝั่งลาว
ถ้าอ้ายหลายใจ สิย้ายไปอยู่ฝั่งลาว

สาวฝั่งไทยคือเหงาใจแท้เจ้า
ผู้สาวฝั่งลาวสิเหงาบ้างไหมหนอ
คอยแล้วคอยเล่าอ้ายผู้บ่าวรูปหล่อ
สาวไทยเฝ้ารอ อยากพบพ้อทุกวัน
สาวฝั่งไทยบ่หลายใจเด้อเจ้า
ผู้สาวฝั่งลาวก็ใจเดียวคือกัน
แต่ใจผู้บ่าวล่ะสองฝั่งทางนั้น
เจ้าชู้เหมือนกันหรือว่าอ้ายจริงใจ
บอกมาให้เข้าใจตรงกัน

ว่าเชื่อมความสัมพันธ์
แล้วจะไม่จากไป
ปากเธอหากไม่ตรงกับใจ
ให้มีอันเป็นไป
ถ้าเธอลวงหลอกฉัน
ไม่จริงเธออย่าได้สาบาน
รักจริงขอให้เชื่อคำมั่น
เวลาพิสูจน์กันและกัน
แม้ว่าเราห่างกัน ก็รักเธอจริงใจ
รักเธอจริงใจ

เพ็ญเดือนสิบสอง
น้ำก็นองไหลเชี่ยว
อยู่คนเดียวละเหงาเปลี่ยวเดียวดาย
อย่าลืมคำมั่นสัญญาที่ฝั่งหนองคาย
ถ้าอ้ายหลายใจสิย้ายไปอยู่ฝั่งลาว
ถ้าอ้ายหลายใจ สิย้ายไปอยู่ฝั่งลาว",yinglee_srijumpol
แจ๋ว,/music/thailyric/10362,"ถูกหวยได้เป็นล้าน มันก็แจ๋วนะซิ
มีทองใหญ่เท่าโซ่ โห้ ก็แจ๋วนะซิ
มีรถหรูไว้โชว์ โอ้ว ก็แจ๋วนะซิ
อ๊ะมีแฟนไม่เจ้าชู้ หือ ก็แจ๋วนะสิ

แทงทุกครั้ง ก็หวังจะรวย แต่ถูกหวยรับทาน
ทองเส้นโตเท่าโซ่อย่างนั้น ใส่แล้วมันจะเป็นไง
รถเก๋งสักคัน มันก็คงจะนิ้ง ซิ่งไปไหนมาไหน
คนไม่เจ้าชู้ ยังมีอยู่ไหม ได้ก็แจ๋วนะซิ

มีเงินเต็มกระเป๋า ว๊าว ก็แจ๋วนะซิ
มีบ้านหลังเบ้อเร่อ เอ้อ ก็แจ๋วนะซิ
มีแฟนเป็นเธอ เหรอ ก็แจ๋วนะซิ
อ๊ะมีเธอเป็นแฟน แม่น ก็แจ๋วนะซิ

มีทองเป็นถัง อ๊ะ มีตังเป็นถุง มันก็แค่ในฝัน
บ้านใหญ่สักหลัง สักสิบกว่าชั้น ดูแล้วคงแปนแวน
มีใครสักคนมาช่วยเกาหลัง ว่างก็เดินควงแขน
ถ้าหากเป็นเธอ ได้เธอเป็นแฟน ก็แต่นแต็นแต๊นนะซิ

ถูกหวยได้เป็นล้าน มันก็แจ๋วนะซิ
มีทองใหญ่เท่าโซ่ โห้ ก็แจ๋วนะซิ
มีรถหรูไว้โชว์ โอ้ว ก็แจ๋วนะซิ
อ๊ะมีแฟนไม่เจ้าชู้ หือ ก็แจ๋วนะสิ

แทงทุกครั้ง ก็หวังจะรวย แต่ถูกหวยรับทาน
ทองเส้นโตเท่าโซ่อย่างนั้น ใส่แล้วมันจะเป็นไง
รถเก๋งสักคัน มันก็คงจะนิ้ง ซิ่งไปไหนมาไหน
คนไม่เจ้าชู้ ยังมีอยู่ไหม ได้ก็แจ๋วนะซิ
มีเงินเต็มกระเป๋า ว้าว ก็แจ๋วนะซิ
มีบ้านหลังเบ้อเร่อ เอ้อ ก็แจ๋วนะซิ
มีแฟนเป็นเธอ เหรอ ก็แจ๋วนะซิ
อ๊ะมีเธอเป็นแฟน แม่น ก็แจ๋วนะซิ

มีทองเป็นถัง อ๊ะ มีตังเป็นถุง มันก็แค่ในฝัน
บ้านใหญ่สักหลัง สักสิบกว่าชั้น ดูแล้วคงแปนแวน
มีใครสักคนมาช่วยเกาหลัง ว่างก็เดินควงแขน
ถ้าหากเป็นเธอ ได้เธอเป็นแฟน ก็แต่นแต็นแต๊นนะซิ

ถูกหวยได้เป็นล้าน มันก็แจ๋วนะซิ
มีทองใหญ่เท่าโซ่ โห้ ก็แจ๋วนะซิ
มีรถหรูไว้โชว์ โอ้ว ก็แจ๋วนะซิ
อ๊ะมีแฟนไม่เจ้าชู้ หือ ก็แจ๋วนะสิ
มีเงินเต็มกระเป๋า ว๊าว ก็แจ๋วนะซิ
มีบ้านหลังเบ้อเร่อ เอ้อ ก็แจ๋วนะซิ
มีแฟนเป็นเธอ เหรอ ก็แจ๋วนะซิ
อ๊ะมีเธอเป็นแฟน แม่น ก็แจ๋วนะซิ",yinglee_srijumpol
รอสายคนโสด,/music/thailyric/10358,"บางลีลาต้องขอโทษ บางอารมณ์ของคนโสด
โปรดทำความเข้าใจ
ไม่ต้องการทำให้โกรธ แค่ให้รู้ว่ายังโสด
จึงโหลดเพลงมารอสาย

เพราะว่าเคยอกหักจากการรักคนมีแฟน
อ้อมแขนมีคนรอขอบ๊ายบาย
ขออภัย เข้าใจไหมคะแฟนชาวบ้าน

ไม่มีสัญญาณตอบรับ จากเลขหมายที่คุณเรียกในขณะนี้
คนมีแฟนต้องขอโทษที ถ้าหากเบอร์นี้ไม่มีสัญญาณ
ตั้งค่าใจไว้เป็นแบบรอ สายเฉพาะคนโสดเท่านั้น
คนไม่โสดขอโทษแล้วกัน ถ้าหากว่าฉันจะรีบวางสาย
คนโสดจะได้โทรมา

ไม่ใช่คนที่ใจดำ แค่ต้องดูพฤติกรรม
กลัวทำให้นอนช้ำใจ
โดนปู้ยี่และปู้ยำ ใจต้องหาคนมาดาม
รอยช้ำที่ถูกทำไว้

เพราะว่าเคยอกหักจากการรักคนมีแฟน
อ้อมแขนมีคนรอขอบ๊ายบาย
ขออภัย เข้าใจไหมคะแฟนชาวบ้าน

ไม่มีสัญญาณตอบรับ จากเลขหมายที่คุณเรียกในขณะนี้
คนมีแฟนต้องขอโทษที ถ้าหากเบอร์นี้ไม่มีสัญญาณ
ตั้งค่าใจไว้เป็นแบบรอ สายเฉพาะคนโสดเท่านั้น
คนไม่โสดขอโทษแล้วกัน ถ้าหากว่าฉันจะรีบวางสาย
คนโสดจะได้โทรมา

เพราะว่าเคยอกหักจากการรักคนมีแฟน
อ้อมแขนมีคนรอขอบ๊ายบาย
ขออภัย เข้าใจไหมคะแฟนชาวบ้าน

ไม่มีสัญญาณตอบรับ จากเลขหมายที่คุณเรียกในขณะนี้
คนมีแฟนต้องขอโทษที ถ้าหากเบอร์นี้ไม่มีสัญญาณ
ตั้งค่าใจไว้เป็นแบบรอ สายเฉพาะคนโสดเท่านั้น
คนไม่โสดขอโทษแล้วกัน ถ้าหากว่าฉันจะรีบวางสาย
คนโสดจะได้โทรมา

ไม่มีสัญญาณตอบรับ จากเลขหมายที่คุณเรียกในขณะนี้
คนมีแฟนต้องขอโทษที ถ้าหากเบอร์นี้ไม่มีสัญญาณ
ตั้งค่าใจไว้เป็นแบบรอ สายเฉพาะคนโสดเท่านั้น
คนไม่โสดขอโทษแล้วกัน ถ้าหากว่าฉันจะรีบวางสาย
คนโสดจะได้โทรมา คนโสดให้โทรมา",yinglee_srijumpol
