song_name,href,lyric,artist
จบไปแล้ว,/music/thailyric/1113,"ตื่นจากภวังค์ได้แล้ว จะหลอกตัวเองทำไม
กลับสู่ความจริงได้ไหม เสียดายเวลา
กี่วันที่ฟ้าทุ่มเทใจไป ได้แต่คว้าหัวใจว่างเปล่าคืนมา
เวลาไม่เคยเป็นใจ ช่วยบอกตัวเองให้ท้อ
ให้หมดกำลังใจไป อย่าบอกว่ายังทนไหว เลิกทีพอที

หากว่าเขายังคิดจะรักกันจริง คงไม่ทิ้งให้รออยู่นานเป็นปี เหมือนเราไม่มีตัวตน

(จบมันไปได้แล้ว) อย่าหยุดอย่าเพ้ออย่าฝันต่อ
ที่แล้วๆ มาก็มากพอ ยังจะรอให้ใจต้องช้ำมากมายเพียงไหน
(จบมันไปได้แล้ว) อย่าไปรักเขาอีกได้ไหม
ไม่มีอะไรให้หวังอีกแล้ว ให้พอกันที อย่าหนีความจริงเลย

อย่าต่อเวลารอเขา ให้เหนื่อยใจไปวันๆ
หยุดแต่งและเติมความฝันให้มันดูดี...

หากว่าเขายังคิดจะรักกันจริง คงไม่ทิ้งให้รออยู่นานเป็นปี เหมือนเราไม่มีตัวตน

(จบมันไปได้แล้ว) อย่าหยุดอย่าเพ้ออย่าฝันต่อ
ที่แล้วๆ มาก็มากพอ ยังจะรอให้ใจต้องช้ำมากมายเพียงไหน
(จบมันไปได้แล้ว) อย่าไปรักเขาอีกได้ไหม
ไม่มีอะไรให้หวังอีกแล้ว ให้พอกันที อย่าหนีความจริงเลย

จากนี้ต้องรักตัวเอง ตัดใจซะ
อย่ามัวเสียดายในเมื่อเขาไม่คิดมีใจ
อย่างมอย่างายในรักที่มีอยู่
ออกมาดูความจริงได้ไหม

(จบมันไปได้แล้ว) อย่าหยุดอย่าเพ้ออย่าฝันต่อ
ที่แล้วๆ มาก็มากพอ ยังจะรอให้ใจต้องช้ำมากมายเพียงไหน
(จบมันไปได้แล้ว) อย่าไปรักเขาอีกได้ไหม
ไม่มีอะไรให้หวังอีกแล้ว ให้พอกันที อย่าหนีความจริงเลย",zaza
วันละ Kiss,/music/thailyric/1124,"Oh ! You can kiss me on
a Monday a Monday a Monday
it's very very good
Oh ! You can kiss me on
a Tuesday a Tuesday a Tuesday
in fact I wish you would
Oh ! You can kiss me on
a Wednesday a Thursday a Friday
a Saturday is best
But never never on a Sunday a Sunday
cause that my day of rest

ฝันซะละมั้งเนี่ย เค้าที่ฉันชอบๆ อยู่ ถามฉันว่าได้เปล่า ขอฉันวันละ Kiss ฉันก็ชอบใจ แต่ต่อเขานิดๆ
มาแบบดีๆ ก็คงจะไม่ไหว

Oh ! You can kiss me on
a Monday a Monday a Monday
it's very very good
Oh ! You can kiss me on
a Tuesday a Tuesday a Tuesday
in fact I wish you would
Oh ! You can kiss me on
a Wednesday a Thursday a Friday
a Saturday is best
But never never on a Sunday a Sunday
cause that my day of rest

ฝันว่าเขาคุกเข่า ฝันว่าเขาเฝ้าอ้อนวอน เขาขอไม่ลดหย่อน Kiss แค่วันละหน ถึงแค่ฝันไปก็เถอะ ฉันไม่สน ต้องบอกต้องบอกออกไปอย่างมีฟอร์ม

Oh ! You can kiss me on
a Monday a Monday a Monday
it's very very good
Oh ! You can kiss me on
a Tuesday a Tuesday a Tuesday
in fact I wish you would
Oh ! You can kiss me on
a Wednesday a Thursday a Friday
a Saturday is best
But never never on a Sunday a Sunday
cause that my day of rest

ฝันแล้วก็ฝันอีก ฝันซ้ำๆ ไม่สิ้นสุด เหลือแค่ว่าเมื่อไหร่ มันจะจริงจะจัง ฉันก็ขอเพียงเมื่อไหร่เจอจังๆ
จะบอกจะบอกไปเลย ให้เขารู้

Oh ! You can kiss me on
a Monday a Monday a Monday
it's very very good
Oh ! You can kiss me on
a Tuesday a Tuesday a Tuesday
in fact I wish you would
Oh ! You can kiss me on
a Wednesday a Thursday a Friday
a Saturday is best
But never never on a Sunday a Sunday
cause that my day of rest",zaza
เอะอะก็ไม่คิด,/music/thailyric/1130,"ถึงพี่ชายๆ ๆ แสนดี โทษที โทษที น้องเองก็ใจป่วน
ชิดพี่ชายเมื่อไร หัวใจชักรวน
รบกวนพี่ชายช่วยหน่อยได้ไหมนะ

คิดๆไป เมื่อก่อนไม่เคยคิดไกล
ไม่เคยน้อยใจ ไม่เคยต้องใจสั่น 
หรือพี่เองก็มีท่าทีเหมือนกัน
แล้วไงแล้วไง ชอบบอกว่าไม่คิด

เอะอะก็ไม่คิดอะไร คิด ลองคิดสักนิดเป็นไง
อย่ามัวแต่ไม่คิดอะไร คิดมากๆ อีกนิดเป็นไง
เบื่อคำว่าน้องแล้ว

ไม่ตั้งใจเข้ามา เข้ามารบกวน แค่ชวนคบกันถ้ายังไม่มีใคร
เห็นท่าทางพี่ชายๆ เหงาใจ
ได้ไงๆ ไม่อยากให้เหงานะ

เอะอะก็ไม่คิดอะไร คิด ลองคิดสักนิดเป็นไง
อย่ามัวแต่ไม่คิดอะไร คิดมากๆ อีกนิดเป็นไง
เบื่อคำว่าน้องแล้ว",zaza
คนใจร้าย,/music/thailyric/1108,"สิ่งที่ยังติดค้างอยู่ในใจ
สิ่งดีดีที่เธอนั้นมีไว้ให้
สิ่งที่ทำให้ใจต้องคอยหวั่นไหว
คือสิ่งที่มาจากใจเธอหรือไร

เพราะวันนี้เธอนั้น ไม่เหมือน ไม่ใช่คนเก่า
คนที่ยืนต่อหน้าเรา คนนี้เธอคือใคร

บอกที เธอทำไมใจร้ายใจดำอย่างนี้
หายไปไหนคนที่แสนดี
บอกที เป็นเพราะใครเธอจึงเปลี่ยนไป
บอกที เธอทำไมใจร้ายใจดำอย่างนี้
หรือเพราะฉันที่ผิดใช่ไหม
ฉันควรจะทำอย่างไร
ถึงจะขอให้เธอคนนี้
กลับมาเป็นคนที่คอยรักแสนดีดังเดิม

บอกสักคำ ว่าทำร้ายกันทำไม
บอกสักคำ ว่าเคืองฉันเรื่องไร
หากใจเธอ ไม่มีฉันอีกต่อไป
ก็บอกกันเลย อย่าให้ทำร้ายใจ

เพราะวันนี้เธอนั้น ไม่เหมือน ไม่ใช่คนเก่า
คนที่ยืนต่อหน้าเรา คนนี้เธอคือใคร

บอกที เธอทำไมใจร้ายใจดำอย่างนี้
หายไปไหนคนที่แสนดี
บอกที เป็นเพราะใครเธอจึงเปลี่ยนไป
บอกที เธอทำไมใจร้ายใจดำอย่างนี้
หรือเพราะฉันที่ผิดใช่ไหม
ฉันควรจะทำอย่างไร
ถึงจะขอให้เธอคนนี้
กลับมาเป็นคนที่คอยรักแสนดีดังเดิม

บอกที เธอทำไมใจร้ายใจดำอย่างนี้
หายไปไหนคนที่แสนดี
บอกที เป็นเพราะใครเธอจึงเปลี่ยนไป
บอกที เธอทำไมใจร้ายใจดำอย่างนี้
หรือเพราะฉันที่ผิดใช่ไหม
ฉันควรจะทำอย่างไร
ถึงจะขอให้เธอคนนี้
กลับมาเป็นคนที่คอยรักแสนดีดังเดิม",zaza
ความเดิมตอนที่แล้ว,/music/thailyric/1109,"ความเดิมตอนที่แล้ว จำได้เราเคยรักกัน
เธอเป็นคนบอกฉันไม่มีวันลาไปไกล
ความเดิมตอนที่แล้ว ลงเอยด้วยเธอทิ้งไป
คำที่เธอพูดไว้ เธอเองไม่รักษามัน

แล้ววันนี้มันเกิดอะไร ถึงได้มารื้อฟื้นวันเก่าๆ
กลับมาทำไมหรือเธอ

ไม่เหลืออะไรให้เธอแล้ว
ไม่เหลือแล้วเธอ หมดเยื่อใย
ก็รักในใจ หมดไปเมื่อเธอทิ้งกัน
อย่าหวังให้เราเป็นอย่างเคย มันเลยตอนอวสาน
เรื่องราวของเธอและฉัน จบแล้วที่เคยรักกัน
มันไม่มีตอนต่อไประหว่างใจเรา

ฉันก็ดีอยู่แล้วไม่ได้เป็นไรนะเธอ
ฉันไม่ได้เฝ้าเพ้อคร่ำครวญทวงคืนวันวาน
มันก็ดีอยู่แล้วที่เราไม่ต้องรักกัน
เคยต้องการอย่างนั้น แบบนั้นไม่ใช่หรือเธอ

แล้ววันนี้มันเกิดอะไร ถึงได้มารื้อฟื้นวันเก่าๆ
กลับมาทำไมหรือเธอ

ไม่เหลืออะไรให้เธอแล้ว
ไม่เหลือแล้วเธอ หมดเยื่อใย
ก็รักในใจ หมดไปเมื่อเธอทิ้งกัน
อย่าหวังให้เราเป็นอย่างเคย มันเลยตอนอวสาน
เรื่องราวของเธอและฉัน จบแล้วที่เคยรักกัน
มันไม่มีตอนต่อไประหว่างใจเรา

แล้ววันนี้มันเกิดอะไร ถึงได้มารื้อฟื้นวันเก่าๆ
กลับมาทำไมหรือเธอ

ไม่เหลืออะไรให้เธอแล้ว
ไม่เหลือแล้วเธอ หมดเยื่อใย
ก็รักในใจ หมดไปเมื่อเธอทิ้งกัน
อย่าหวังให้เราเป็นอย่างเคย มันเลยตอนอวสาน
เรื่องราวของเธอและฉัน จบแล้วที่เคยรักกัน
มันไม่มีตอนต่อไประหว่างใจเรา",zaza
ความผิดติดตัว,/music/thailyric/1110,"โปรดอย่าทำเย็นชากับฉัน ไม่อยากเห็นแววตาอย่างนั้น
เรื่องของเขาและฉันจบไปตั้งนาน
เธอทำเหมือนว่าให้อภัย ผิดครั้งเดียวเธอยอมให้ฉัน
แล้วมันนี่มันอะไร

พูดดีดีกันไม่กี่คำ ต้องทะเลาะกันเป็นประจำ
เธอรู้ไหมว่ามันกดดันเท่าไหร่
ใครโทรหาซักนิดก็โกรธ ไม่ไว้ใจไม่ว่ากับใคร
หรือเราไม่อาจเป็นเหมือนเดิม

ความผิดติดตัวฉันไม่มีวันหาย
ติดอยู่ในหัวใจไม่อาจจะลบล้าง
ความผิดติดตัวฉัน โฮ
จะอภัยให้ฉันอย่างไร แต่ในใจเธอคงไม่ลืม

แต่ละวันที่มันผ่านไป ต้องทนทรมานจิตใจ
จะต้องขอโทษเธออย่างไรให้หายกัน
ในเมื่อฉันไม่เลิกกับเธอ ในเมื่อเธอไม่เลิกกับฉัน
แล้วเราเจ็บไปเพื่อใคร

ความผิดติดตัวฉันไม่มีวันหาย
ติดอยู่ในหัวใจไม่อาจจะลบล้าง
ความผิดติดตัวฉัน โฮ
จะอภัยให้ฉันอย่างไร แต่ในใจเธอคงไม่ลืม",zaza
เบื่อเพลงรัก,/music/thailyric/1120,"เบื่อเพลงรัก... ฉันน่ะเบื่อเพลงรัก
ร้องเท่าไหร่ไม่เห็นเข้าใจ  ก็ไม่เคยซึ้งเลยในคำว่ารัก
คืออะไรกันนะ  คำในเพลงที่เค้านั้นพร่ำบอก
ยังไม่ Feel!! สักที

รักคือลมรึป่าว  ที่พัดปลิวมาก็ไป
ความรักดูไม่มีตัวตนสักนิด

เบื่อเพลงรัก...ฉันน่ะเบื่อเพลงรัก
ฟังเท่าไหร่ไม่คุ้นไม่รู้จัก  จนได้มาพบเธอ

รักใช่ดาวรึป่าว  ส่องแสงประกายวับวาว
ความรักไงช่างดูเหมือนมีชีวิต

อยากฮัมเพลง รัก รัก  ก็ยังไม่ไหวทุกที
ไม่มีคำไหนสักคำ  ที่จะบอกได้ดีเท่าไร
รัก รัก อาจเป็นแค่เสียงของใจ
มันดังว่า อะอะอาว นะหนานานาว
อะอะอาว นันนะหนานานาว

เบื่อเพลงรัก...ฉันน่ะเบื่อเพลงรัก
ใจอยากฟังแต่เสียงเธอมากกว่า  ว่าเธอคิดถึงกัน

รักคือเธอรึป่าว  ที่เข้ามากวนหัวใจ
ความรักช่วยหันมาทักทายอีกนิด

อยากฮัมเพลง รัก รัก  ก็ยังไม่ไหวทุกที
ไม่มีคำไหนสักคำ  ที่จะบอกได้ดีเท่าไร
รัก รัก อาจเป็นแค่เสียงของใจ
มันดังว่า อะอะอาว นะหนานานาว
อะอะอาว นันนะหนานานาว

อยากฮัมเพลง รัก รัก  ก็ยังไม่ไหวทุกที
ไม่มีคำไหนสักคำ  ที่จะบอกได้ดีเท่าไร
รัก รัก อาจเป็นแค่เสียงของใจ
มันดังว่า อะอะอาว นะหนานานาว
อะอะอาว นันนะหนานานาว

อยากฮัมเพลง รัก รัก  ก็ยังไม่ไหวทุกที
ไม่มีคำไหนสักคำ  ที่จะบอกได้ดีเท่าไร
รัก รัก อาจเป็นแค่เสียงของใจ
มันดังว่า อะอะอาว นะหนานานาว
อะอะอาว นันนะหนานานาว
อะอะอาว นะหนานานาว
อะอะอาว นันนะหนานานาว
อะอะอาว นะหนานานาว
อะอะอาว นันนะหนานานาว",zaza
เหรอ,/music/thailyric/1128,"ร้องร้องโดย บุดดา เบลส

ตอนนี้ฉันยังไม่มองใคร (เหรออออ)
โสดเเบบนี้กำลังสบาย (เอ๊าะ เหรออออ)
ไม่รู้จะมีเเฟนทำไม (เหรอ)
ไว้เจอกันใหม่โอกาสหน้า...
ตอนนี้ฉันยังไม่มองใคร (เหรออออ)
โสดเเบบนี้กำลังสบาย (เอ๊าะ เหรออออ)
ไม่รู้จะมีเเฟนทำไม (เหรอ)
ทิ้งเบอร์เอาไว้ก็ดีนะ

สวยๆเลิศๆ เกิดมาพร้อมความมั่นใจ
ไม่คิดอยากมีคนรัก เบื่อนักพวกผู้ชาย
เสือสิงห์กระทิงทั้งนั้น เขาว่าอันตราย
เเล้วจะมีเเฟนทำไม ให้ชีวิตวุ่นวาย
พุทโธ่ พุทถัง อ้างกันจริง อ้างกันจัง ทำเป็นพูดดี
ผู้หญิงโสดไม่ว่าที่ไหน ไหน ไม่รู้จะโทษใคร อ้างเเบบนี้ทุกที
ผู้ชายเราไม่ได้เลวไปซะหมด ไอ่ที่ดีหมดจดมันก็ยังพอมี
เเต่ที่เธอยังคงโสดอยู่เสมอ ก็เป็นเพราะว่าเธอไม่มีคนจีบอ่ะเด๊

ตอนนี้ฉันยังไม่มองใคร (เหรออออ)
โสดเเบบนี้กำลังสบาย (เอ๊าะ เหรออออ)
ไม่รู้จะมีเเฟนทำไม (เหรอ)
ไว้เจอกันใหม่โอกาสหน้า...
ตอนนี้ฉันยังไม่มองใคร (เหรออออ)
โสดเเบบนี้กำลังสบาย (เอ๊าะ เหรออออ)
ไม่รู้จะมีเเฟนทำไม (เหรอ)
ทิ้งเบอร์เอาไว้ก็ดีนะ

สวยใส ซาบซ่า เเต่ฉันยังไม่สนใคร (อะฮ้า)
ไม่คิดอยากมีคนรัก เบื่อนักพวกผู้ชาย (อ่ะนะ..อ่ะนะ)
มีเข้ามาจีบเป็นร้อย มาให้เลือกจนตาลาย (อะฮ้า)
โทษทีสวยๆอย่างฉัน หากคิดจะมีง่ายจะตาย
คิดให้ดีระวังจะเสียใจ อยู่ตัวคนเดียวเหงานะจะบอกให้
อยากมีลูกขึ้นมา เอ๊ะ จะทำยังไง เด็กมันไม่ได้เกิดจากกระบอกไม้ไผ่
เปลี่ยนใจตอนนี้ยังทันนะ อยากเตือนว่าคิดผิดให้คิดใหม่
พอเวลาอากาศมันหนาวขึ้นมา คนสวยจ๋า จะหันไปกอดใคร
ใจจริงก็เหงาอยู่เหมือนกัน เวลาเห็นคนกอดกัน เเอบหวังว่าคงมีซักวัน
อย่ามัวลวดลายอยู่เลย หยุดวางฟอร์มได้ไหมเธอ

ตอนนี้ฉันยังไม่มองใคร (เหรออออ)
โสดเเบบนี้กำลังสบาย (เอ๊าะ เหรออออ)
ไม่รู้จะมีเเฟนทำไม (เหรอ)
ไว้เจอกันใหม่โอกาสหน้า...
ตอนนี้ฉันยังไม่มองใคร (เหรออออ)
โสดเเบบนี้กำลังสบาย (เอ๊าะ เหรออออ)
ไม่รู้จะมีเเฟนทำไม (เหรอ)
ทิ้งเบอร์เอาไว้ก็ดีนะ

มัวเเต่ฟอร์มเเล้วเธอจะเสียใจ (เหรอออ)
ไม่เห็นต้องคิดให้มากมาย (เอ๊าะ เหรอออ)
หมดไปเเล้วเธอจะเสียดาย (เหรออ)
ไม่ต้องอายถ้าชอบก็บอกมา
ตอนนี้ฉันยังไม่มองใคร (เหรอ)
ลองมองซักนิดจะติดใจ (เหรอ)
บอกเเล้วอย่ามาเล่นกับไฟ (เหรอ)
เล่นเป็นประจำอยู่เเล้วจ้า
ตื้อนักเดี๋ยวฉันก็เปลี่ยนใจ
ไม่เห็นต้องคิดให้มากมาย (เอ๊าะ เหรอออ)
หมดไปเเล้วเธอจะเสียดาย (เหรออ)

เปลี่ยนใจตอนนี้ทันมั้ยค๊า",zaza
เคยไปทำเธอตอนไหน,/music/thailyric/1112,"อยู่ๆจะนึกรัก ก็บอกคำว่ารัก ให้ความหวังกัน
อยู่ๆก็คิดทิ้ง ไม่บอกลาซักครั้ง เหมือนเธอแกล้งกัน

เพราะเหมือนเธอตั้งใจ อยากรู้มาทำร้ายกันทำไม

เคยไปทำเธอตอนไหน ถึงทำกันอย่างนี้
ฉันทำอะไรให้เธอ เคยไปทำอะไรไว้
ให้เธอต้องเสียใจเมื่อไหร่ จึงมาทำร้ายหัวใจกัน

บอกหน่อยให้ฉันรู้ อยู่ๆที่แกล้งรัก ทำไปเพื่อใคร
ต้องการตัวฉันแพ้ ต้องการเพียงแค่นี้ เท่านี้หรือไง

เพราะเหมือนเธอตั้งใจ อยากรู้มาทำร้ายกันทำไม

เคยไปทำเธอตอนไหน ถึงทำกันอย่างนี้
ฉันทำอะไรให้เธอ เคยไปทำอะไรไว้
ให้เธอต้องเสียใจเมื่อไหร่ จึงมาทำร้ายหัวใจกัน

เคยไปทำเธอตอนไหน ถึงทำกันอย่างนี้
ฉันทำอะไรให้เธอ เคยไปทำอะไรไว้
ให้เธอต้องเสียใจเมื่อไหร่ จึงมาทำร้ายหัวใจกัน

จึงมาทำร้ายหัวใจกัน",zaza
ใจละลาย,/music/thailyric/1114,"แค่เห็นเธอแล้วก็ใจละลาย ใจละลาย
ใจละลายละลายละลาย
(สายตาเมื่อสัมผัส หมดเรี่ยวแรงต้านทานใดๆ)
ใจละลาย ใจละลาย ใจละลายละลายละลาย
(หลอมละลายในพริบตา)

แปลกแต่จริงเพิ่งเคยได้พบเจอ เกิดความรู้สึกที่พิเศษ 
เพียงแค่ทันทีที่พบเจอ แปลกแค่เพียงสบตาเมื่อแรกเจอ
ใจก็หลอมละลายไปเลย

สายตาเธอที่จ้องมองกันอยู่ (สายตาเธอที่มองฉันอยู่)
เล่นเอาฉันใจทั้งใจไหวหวั่น (เล่นเอาใจฉันไหวหวั่น)
ฝืนไม่มองไม่เห็นแค่เพียงไม่นาน
ที่สุดใจฉันก็คงต้องแพ้

แค่เห็นเธอแล้วก็ใจละลาย ใจละลาย
ใจละลายละลายละลาย
(สายตาเมื่อสัมผัส หมดเรี่ยวแรงต้านทานใดๆ)
ใจละลาย ใจละลาย ใจละลายละลายละลาย
(หลอมละลายในพริบตา)

เปรียบตาเธอดั่งไฟที่ร้อนแรง มันก็ยังไม่พอ
ต่อให้เป็นดั่งหินที่แข็งแกร่ง ยังต้องหลอมละลายให้เธอ

สายตาเธอที่จ้องมองกันอยู่ (สายตาเธอที่มองฉันอยู่)
เล่นเอาฉันใจทั้งใจไหวหวั่น (เล่นเอาใจฉันไหวหวั่น)
ฝืนไม่มองไม่เห็นแค่เพียงไม่นาน
ที่สุดใจฉันก็คงต้องแพ้

แค่เห็นเธอแล้วก็ใจละลาย ใจละลาย
ใจละลายละลายละลาย
(สายตาเมื่อสัมผัส หมดเรี่ยวแรงต้านทานใดๆ)
ใจละลาย ใจละลาย ใจละลายละลายละลาย
(หลอมละลายในพริบตา)",zaza
